id;title
1;Создание заказа
2;Изменение статуса движения
3;Изменение веса
4;Изменение количества мест
5;Упаковка
6;Редактирование общей информации
7;Корректировка статуса выполнения
8;Корректировка стоимости услуг
9;Изменение локации
10;Изменение статуса выполнения
11;Добавление в отчетность
12;Создание дополнительного заказа
13;Изменение статуса проблемности
14;Изменение типа доставки
15;Удаление из отчета
16;В отчете по прямому движению
17;В отчете по обратному движению
18;Изменение города доставки
19;Изменение партнера-исполнителя
20;Редактирование со стороны КЦ
21;Маркировка
22;Отправка СМС
23;Установка даты доставки
24;Отправка заказа в КЦ
25;Смена отправки
26;Перенос доставки
27;Изменение промежуточного статуса
28;Отмена прозвона КЦ
29;Корректировка статуса движения
30;Удаление заказа
32;Отправка смс внутри ТД
33;Установка курьера
34;Смена текущего владельца заказа
35;Отправлен на прозвон по почте
36;Предварительное оповещение клиента
37;Экспорт заказа
38;СМС курьеру о смене ЖДД
39;Прозвон клиента
40;Удаление грузоместа
41;Повторное создание заказа
