id;parcel_id;webshop_id;date_create
1;4857890;2008;2022-01-02
2;4857952;2008;2022-01-02
3;4857961;2008;2022-01-02
4;4857967;2008;2022-01-02
5;4859413;2008;2022-01-03
6;4859443;2008;2022-01-03
7;4859455;2008;2022-01-03
8;4859472;2008;2022-01-03
9;4860483;2008;2022-01-03
10;4860517;2008;2022-01-03
11;4860583;2008;2022-01-03
12;4861750;2008;2022-01-04
13;4861769;2008;2022-01-04
14;4861841;2008;2022-01-04
15;4861893;2008;2022-01-04
16;4862997;2008;2022-01-04
17;4864775;2008;2022-01-05
18;4864851;2008;2022-01-05
19;4864977;2008;2022-01-05
20;4866184;2008;2022-01-05
32;4857439;2018;2022-01-02
33;4857496;2018;2022-01-02
34;4857559;2018;2022-01-02
35;4857696;2018;2022-01-02
36;4858012;2018;2022-01-02
37;4858513;2018;2022-01-03
38;4858517;2018;2022-01-03
39;4858551;2018;2022-01-03
40;4859292;2018;2022-01-03
41;4859324;2018;2022-01-03
42;4860119;2018;2022-01-03
43;4860151;2018;2022-01-03
44;4860185;2018;2022-01-03
45;4861645;2018;2022-01-04
46;4861694;2018;2022-01-04
47;4861701;2018;2022-01-04
48;4861863;2018;2022-01-04
49;4861930;2018;2022-01-04
50;4861946;2018;2022-01-04
51;4862360;2018;2022-01-04
63;4909280;2004;2022-01-21
64;4909281;2004;2022-01-21
65;4928693;2004;2022-01-28
66;4928694;2004;2022-01-28
67;4928708;2004;2022-01-28
68;4928710;2004;2022-01-28
69;4928711;2004;2022-01-28
70;4928712;2004;2022-01-28
71;5033481;2004;2022-03-10
72;5092901;2004;2022-04-05
73;5093303;2004;2022-04-05
74;5093306;2004;2022-04-05
75;5094991;2004;2022-04-06
76;5097898;2004;2022-04-07
77;5097922;2004;2022-04-07
78;5097942;2004;2022-04-07
79;5098208;2004;2022-04-07
80;5098622;2004;2022-04-07
81;5098876;2004;2022-04-07
82;5102533;2004;2022-04-08
94;4857860;2008;2022-01-02
95;4857865;2008;2022-01-02
96;4857883;2008;2022-01-02
97;4857905;2008;2022-01-02
98;4857932;2008;2022-01-02
99;4857958;2008;2022-01-02
100;4859398;2008;2022-01-03
101;4859433;2008;2022-01-03
102;4859446;2008;2022-01-03
103;4859450;2008;2022-01-03
104;4859451;2008;2022-01-03
105;4859478;2008;2022-01-03
106;4859482;2008;2022-01-03
107;4859862;2008;2022-01-03
108;4859864;2008;2022-01-03
109;4859914;2008;2022-01-03
110;4859920;2008;2022-01-03
111;4859928;2008;2022-01-03
112;4859933;2008;2022-01-03
113;4860474;2008;2022-01-03
125;4857447;2018;2022-01-02
126;4857452;2018;2022-01-02
127;4857473;2018;2022-01-02
128;4857551;2018;2022-01-02
129;4857552;2018;2022-01-02
130;4857588;2018;2022-01-02
131;4857602;2018;2022-01-02
132;4857660;2018;2022-01-02
